Date,AAPL,AAPL/FB,AMZN,AMZN/FB,CMG,CVX,CVX/XOM,FB,KO,NKE,PEP,PEP/KO,SBUX,T,VZ,VZ/T,XOM,ln(AAPL),ln(AMZN),ln(CMG),ln(FB),ln(NKE)
2013-11-26,72.992238658041,1.5905913850085205,381.37,8.31052516888211,525.0,113.45749191858,1.2717624559820984,45.89,37.566503469820006,38.901744371531,80.265804453128,2.136632293117499,39.802057772095,32.097572818653,48.97061225359165,1.5256796060645792,89.212801797144,4.290353115743183,5.943770032495302,6.263398262591624,3.8262472284067424,3.6610390920748177
2013-11-27,74.710991034391,1.6070335778531082,386.71,8.318132931813292,525.0,113.12482619867,1.2743872410798305,46.49,37.771835911146,38.769791218512,80.294338333132,2.1257727191766747,39.855771750195,32.215846187883,48.85320019624039,1.5164338664683286,88.768015366205,4.3136272169832655,5.957675058118561,6.263398262591624,3.8392372357024933,3.657641366538392
2013-11-29,76.094477222679,1.6186870287742823,393.62,8.373112103807701,523.86,113.14330762754999,1.2789586253454404,47.01,37.771835911146,38.676935296017,80.332383506472,2.1267799557174003,39.777642327504,32.033887158298995,48.54988571474961,1.5155789703208662,88.465182051523,4.33197568960178,5.975385976895291,6.261224473050771,3.850360345036039,3.655243435181755
2013-12-02,75.432155447079,1.6028932309196555,392.3,8.336166595835104,524.5,113.05090048313,1.277367481578824,47.06,37.668454424452,38.652499526939,79.60952521301999,2.1134269093170563,39.587201859695,31.660871147651,48.19764954269579,1.5223096458061829,88.503036215858,4.323233648919008,5.972026853215507,6.262445427836352,3.8514233832992164,3.654611443755792
2013-12-03,77.49739516554,1.6584077715715815,384.66,8.231542906056069,522.64,113.21723334308001,1.2674559660273161,46.73,37.922208982701,38.672048142201,79.70463814636899,2.101793125572614,39.333281235949,31.606283438776003,48.5303170385244,1.5354642102267941,89.32636429015,4.350244325027221,5.952359827227221,6.258892890532495,3.844386356712335,3.6551170688455663
2013-12-04,77.31648826732899,1.590219832729926,385.96,7.938296997120527,518.11,112.52417975994,1.2559715642022276,48.62,37.941005616645,38.52054637392,79.151080874279,2.0861619134194704,38.82055689954,31.478912118067,48.305277261934464,1.5345281654193552,89.591343440497,4.3479072351417125,5.955733737152183,6.250187574927661,3.884034968887977,3.6511917709913244
2013-12-05,77.713470802663,1.6076431692731277,384.49,7.953868431940422,521.01,111.90505189232,1.256226534247816,48.34,37.433496500148,38.584079373522,78.432831501554,2.095257959705792,38.92798485574,31.160483816295,47.85519770875461,1.5357655545684856,89.080312221971,4.3530286117505055,5.951917780805149,6.255769235427133,3.878259375275337,3.6528397399261245
2013-12-06,76.63500842383999,1.598560876592407,386.95,8.071547768043388,525.81,113.00469691091999,1.2484117529245313,47.94,38.025590469395,39.028810370734,79.629913789429,2.094113800902562,39.035412811940006,31.415226457712997,48.412904981173114,1.5410649688086804,90.518770466711,4.339054001372441,5.9582954857164685,6.2649399307531946,3.869950229006238,3.664300100859543
2013-12-09,77.51217424648401,1.5870633547601147,384.89,7.8806306306306295,527.32,113.97497192733,1.2566346105765605,48.84,37.969200567562,38.98971314021,79.18938750749099,2.0856216702951706,38.932867944659,31.56079368138,48.50096402418657,1.5367472856932873,90.698577747303,4.350435011073829,5.952957579177967,6.267807574889769,3.888549649242504,3.663297845701732
2013-12-10,77.391752105465,1.54013437025801,387.78,7.7170149253731335,521.53,114.27067478947,1.2616061688620013,50.25,37.452293134092,38.716032526541,78.911664416704,2.106991530109339,37.785342048886,31.296953088483,47.99217844233107,1.5334457097675671,90.575551713214,4.348880212972658,5.960438168502859,6.2567667991525004,3.917010546939185,3.6562537914182434
2013-12-11,76.818378502209,1.5556577258446536,382.19,7.739773187525313,517.57,112.82912333652,1.2648531494711746,49.38,37.715446009313,37.552889918448,79.170234190885,2.0991461739928954,37.306799334904,30.887545271918,47.44425550802516,1.536031921292237,89.20333825606,4.341443914939311,5.945917867152002,6.2491447816924275,3.8995454839170334,3.6257503371248423
